사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,1호선,150,서울역,677,35,"8,460","8,722","13,265","53,198","43,763","112,497","74,004","237,172","61,817","161,661","61,592","78,685","73,218","72,031","86,298","79,387","87,046","77,954","71,499","72,423","99,912","78,057","116,950","79,801","170,173","95,408","230,044","99,606","117,255","68,805","85,484","47,220","86,714","41,748","57,235","28,916","25,208","14,624","2,352","3,091",0,220,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,151,시청,113,0,"2,396","4,586","4,034","24,139","8,529","75,421","11,367","210,492","14,225","93,041","16,499","44,716","22,017","44,042","23,030","42,030","29,558","42,661","38,498","35,240","53,346","32,214","61,934","30,442","98,564","29,872","175,362","27,244","66,784","14,072","56,776","9,281","50,856","8,987","33,048","6,923","10,441","4,654",362,"1,076",2,27,0,1,0,0,2023-04-03 9:45
Mar-23,1호선,152,종각,89,1,"3,698","5,315","4,213","28,842","6,671","114,672","11,140","285,466","13,252","158,014","18,242","66,935","27,392","63,432","33,609","55,449","43,465","53,389","55,714","46,058","69,835","40,688","83,827","41,641","153,030","48,205","237,310","55,172","103,530","27,028","87,834","12,337","94,699","8,556","70,331","6,363","30,417","4,000","1,147",862,2,1,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,153,종로3가,162,12,"3,819","2,972","3,838","12,438","5,610","27,245","9,700","76,204","15,890","71,959","21,647","62,562","31,343","72,658","45,211","75,930","52,145","69,611","64,928","60,549","74,911","50,098","82,318","46,656","93,726","44,519","109,562","46,061","66,250","23,134","53,518","11,934","57,784","9,245","43,026","7,385","18,618","4,724","1,510","2,156",2,15,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,154,종로5가,45,0,"2,033","4,081","3,187","15,763","6,502","43,928","10,619","106,094","14,462","68,816","23,948","63,772","36,415","68,958","46,970","65,915","56,490","59,950","64,426","56,923","70,612","46,709","74,774","43,126","93,317","38,306","108,028","36,799","57,618","20,968","41,218","10,944","37,904","8,010","22,913","6,213","7,559","3,559",272,"1,077",0,1,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,155,동대문,775,8,"11,503","2,638","10,255","7,250","15,728","12,835","20,970","22,752","19,240","23,360","17,839","24,624","19,142","27,716","22,906","27,406","24,571","25,150","27,441","24,733","28,484","23,202","28,789","21,701","27,604","21,361","25,619","22,150","18,406","21,176","15,625","14,561","14,941","12,652","11,914","11,596","5,370","8,898",588,"2,612",1,247,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,156,신설동,460,11,"9,074","2,309","9,800","8,642","22,348","25,354","33,819","60,619","20,962","35,669","18,102","22,947","20,709","19,847","22,465","19,683","24,282","20,255","24,327","19,354","26,414","20,863","31,961","22,558","42,390","25,624","55,155","32,909","23,088","23,490","15,756","15,187","14,221","14,401","10,049","12,878","4,378","9,422",384,"2,110",0,5,1,2,0,0,2023-04-03 9:45
Mar-23,1호선,157,제기동,442,7,"5,492","2,000","8,689","8,486","24,377","20,337","34,956","40,803","24,936","34,553","25,800","39,534","34,361","47,332","40,119","52,107","43,541","54,933","48,626","51,086","54,702","43,106","53,280","37,221","47,645","30,790","43,495","30,271","22,410","20,775","14,398","13,396","10,461","12,076","6,457","10,679","2,504","7,141",170,"1,309",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,158,청량리(서울시립대입구),993,8,"11,265","3,848","16,294","23,074","40,847","18,163","49,664","38,941","32,688","37,000","30,210","37,598","35,897","42,179","41,648","45,039","44,134","48,019","46,199","48,086","51,821","47,042","61,086","44,508","55,594","44,311","47,037","51,447","26,424","33,959","19,426","20,215","15,880","19,259","10,042","16,395","3,973","9,904",229,"3,684",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,1호선,159,동묘앞,213,2,"2,916","1,024","3,653","5,289","7,749","10,452","11,678","24,126","10,251","17,789","11,611","22,645","16,040","31,527","22,594","34,544","31,411","39,975","35,501","35,583","38,495","29,975","40,992","21,360","36,353","16,106","24,791","12,211","10,862","8,498","6,273","5,990","5,727","5,993","4,098","6,606","1,544","4,133",99,"1,587",1,299,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,201,시청,89,0,909,"1,680","2,032","19,373","5,601","71,492","9,428","229,115","12,972","91,045","18,448","30,342","24,037","27,860","23,437","27,965","28,806","30,055","34,981","25,894","43,547","23,988","53,238","22,891","101,885","24,115","179,414","24,014","63,846","12,549","48,950","7,991","44,140","8,187","28,168","7,606","10,632","5,223","1,332","1,650",0,81,1,0,0,0,2023-04-03 9:45
Mar-23,2호선,202,을지로입구,94,0,"2,677","2,876","3,975","26,504","11,186","134,019","20,488","355,132","28,199","170,000","34,006","75,555","41,608","70,693","45,513","62,309","56,854","62,524","64,798","55,741","77,484","54,375","92,590","58,638","170,331","65,853","297,250","68,641","131,946","41,627","114,926","27,827","82,111","25,174","62,573","21,835","25,195","12,371","3,490","5,152",1,"1,058",0,0,0,0,2023-04-03 9:45
Mar-23,2호선,203,을지로3가,19,0,"1,127","1,652","2,763","18,587","6,189","74,300","12,956","190,846","17,952","77,356","21,198","34,197","23,422","28,245","24,370","26,650","27,039","29,498","32,063","26,684","37,219","24,934","45,156","27,880","93,820","33,679","149,966","39,195","59,576","23,969","43,885","14,500","48,033","12,757","40,388","11,361","21,990","7,181","3,443","2,069",1,69,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,204,을지로4가,3,0,"1,056","1,159","2,010","12,807","5,451","36,163","10,994","85,337","12,775","43,943","15,090","26,688","17,647","26,232","19,331","23,767","21,584","22,936","24,999","21,562","27,620","19,163","34,797","18,103","61,678","18,410","73,216","18,285","32,179","12,371","19,525","8,317","16,029","8,234","10,987","7,885","5,166","5,488",932,"1,842",1,57,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,205,동대문역사문화공원(DDP),185,5,"5,498","1,434","4,395","8,824","7,870","25,408","14,291","52,796","14,113","33,088","15,117","30,026","17,571","31,056","20,949","29,304","22,931","30,688","27,614","30,241","34,305","28,283","43,188","26,706","45,959","29,922","50,108","34,555","32,315","31,253","24,769","22,670","26,406","19,243","19,397","17,150","10,847","10,673","1,949","3,513",2,116,0,0,0,0,2023-04-03 9:45
